trial,phase,mode,latency_s,wall_s,net_bytes,avg_sm
1,prefill,local,16.2,16.208752393722534,0,0.0
1,prefill,naive,9.95,9.959810495376587,3354139814,0.0
1,prefill,sys_simulated,10.97,10.975821495056152,3354139850,0.0
1,decode,local,16.64,16.652854681015015,0,0.0
1,decode,naive,14.11,14.121178150177002,20140623864,0.0
1,decode,sys_simulated,11.14,11.152948379516602,3354642820,0.0
2,prefill,local,8.03,8.04333758354187,0,0.0
2,prefill,naive,9.75,9.756033182144165,3354139814,0.0
2,prefill,sys_simulated,9.74,9.749569416046143,3354139850,0.0
2,decode,local,8.07,8.074280500411987,0,0.0
2,decode,naive,12.39,12.395139217376709,20140623864,0.0
2,decode,sys_simulated,9.88,9.889833450317383,3354642820,0.0
3,prefill,local,7.98,7.988691091537476,0,0.0
3,prefill,naive,9.77,9.781859159469604,3354139814,0.0
3,prefill,sys_simulated,9.72,9.728410482406616,3354139850,0.0
3,decode,local,8.07,8.082910537719727,0,0.0
3,decode,naive,12.3,12.311295986175537,20140623864,0.0
3,decode,sys_simulated,9.94,9.945241928100586,3354642820,0.0
